City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Maragogi,BR,-9.0122,-35.2225,80.44,74,99,9.08,overcast clouds
195,Grand Gaube,MU,-20.0064,57.6608,77.4,83,93,5.99,light rain
196,Maracacume,BR,-2.0428,-45.9592,79.23,80,37,6.85,scattered clouds
197,Hasaki,JP,35.7333,140.8333,47.21,62,2,4.79,clear sky
198,Port Elizabeth,ZA,-33.918,25.5701,67.32,84,10,4.0,clear sky
199,Turiacu,BR,-1.6633,-45.3717,77.58,87,13,5.66,few clouds
200,Faya,SA,18.3851,42.4509,59.52,76,41,5.3,scattered clouds
201,Chapais,CA,49.7834,-74.8492,24.58,79,100,8.01,overcast clouds
202,Matadi,CD,-5.8167,13.45,76.84,93,100,3.2,overcast clouds
203,Mgandu,TZ,-5.95,34.1333,61.7,94,100,1.95,overcast clouds
204,Ouahigouya,BF,13.5828,-2.4216,92.86,18,100,7.43,overcast clouds
205,Khuzhir,RU,53.1939,107.3397,4.12,90,43,6.11,scattered clouds
206,Cidreira,BR,-30.1811,-50.2056,78.19,83,57,12.64,broken clouds
207,Bakchar,RU,57.0186,82.0711,30.67,88,99,10.98,overcast clouds
208,Osoyoos,CA,49.0331,-119.4524,45.01,53,96,4.61,overcast clouds
209,Mitsamiouli,KM,-11.3847,43.2844,82.63,73,100,10.22,overcast clouds
210,Cherskiy,RU,68.75,161.3,-9.26,83,56,9.42,broken clouds
211,Luau,AO,-10.7073,22.2247,62.85,97,100,1.86,light rain
212,Agadez,NE,19.75,10.25,73.98,13,95,2.77,overcast clouds
213,Cahors,FR,44.4167,1.3333,51.76,93,93,9.04,overcast clouds
214,Kuching,MY,1.55,110.3333,78.04,93,40,2.3,scattered clouds
215,Sao Filipe,CV,14.8961,-24.4956,76.37,61,0,6.02,clear sky
216,Lahaina,US,20.8783,-156.6825,78.8,68,2,2.59,clear sky
217,Kahului,US,20.8947,-156.47,78.84,60,20,6.91,few clouds
218,Komsomolskiy,UZ,40.4272,71.7189,56.12,71,89,4.61,mist
219,Moron,AR,-34.6534,-58.6198,100.29,36,0,7.45,clear sky
220,Plumlov,CZ,49.4661,17.015,32.83,83,22,10.58,few clouds
221,Champerico,GT,14.3,-91.9167,84.74,61,36,9.26,scattered clouds
222,Kaili,ID,-3.4626,120.2147,66.87,94,96,2.84,overcast clouds
223,George Town,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
224,Tuapse,RU,44.1125,39.0742,55.99,65,100,27.0,overcast clouds
225,Sayyan,YE,15.1718,44.3244,56.39,71,100,2.48,overcast clouds
226,Petropavl,KZ,54.8753,69.1628,18.52,92,70,8.48,broken clouds
227,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,88,12.44,moderate rain
228,Sorong,ID,-0.8833,131.25,78.01,86,37,5.17,scattered clouds
229,Remiremont,FR,48.0175,6.5882,37.58,93,92,3.36,overcast clouds
230,Hofn,IS,64.2539,-15.2082,15.66,68,5,22.01,clear sky
231,Kyela,TZ,-9.5833,33.85,72.25,85,100,4.29,light rain
232,Zhigansk,RU,66.7697,123.3711,-29.07,100,96,4.0,overcast clouds
233,Maumere,ID,-8.6199,122.2111,77.59,84,11,4.14,few clouds
234,Chenzhou,CN,25.8,113.0333,64.15,77,100,11.1,overcast clouds
235,San Jose De Guanipa,VE,8.8872,-64.1651,91.22,31,90,11.14,overcast clouds
236,Jacareacanga,BR,-6.2222,-57.7528,76.35,95,68,1.83,heavy intensity rain
237,Lebu,CL,-37.6167,-73.65,62.89,78,89,17.63,overcast clouds
238,Naze,JP,28.3667,129.4833,61.72,60,99,10.27,overcast clouds
239,Marawi,PH,7.9986,124.2928,67.17,97,84,2.64,broken clouds
240,Airai,TL,-8.9266,125.4092,57.9,89,6,1.28,clear sky
241,Banjar,ID,-8.19,114.9675,74.75,89,53,5.23,broken clouds
242,Kirakira,SB,-10.4544,161.9205,79.2,86,100,1.3,light rain
243,Sabang,ID,5.8933,95.3214,80.2,79,99,5.19,overcast clouds
244,Asau,RO,46.4333,26.4,40.28,67,39,9.51,scattered clouds
245,Hovd,MN,48.0056,91.6419,27.03,24,99,2.42,overcast clouds
246,Golden,US,39.7555,-105.2211,58.48,27,20,34.52,few clouds
247,Amga,RU,60.8953,131.9608,12.49,95,100,5.53,light snow
248,Mantua,IT,45.1667,10.7833,56.44,81,6,8.99,clear sky
249,Boali,CF,4.8005,18.1275,77.56,63,82,4.99,broken clouds
250,Wahiawa,US,21.5028,-158.0236,78.55,57,0,5.75,clear sky
251,Kenai,US,60.5544,-151.2583,23.05,54,0,5.75,clear sky
252,Kalashnikovo,RU,57.2824,35.2262,30.88,97,100,11.99,snow
253,Biak,ID,-0.9131,122.8766,75.07,83,91,2.42,overcast clouds
254,Bethel,US,41.3712,-73.414,41.94,71,100,12.66,overcast clouds
255,Luganville,VU,-15.5333,167.1667,81.28,75,92,9.64,overcast clouds
256,Kodiak,US,57.79,-152.4072,42.31,24,0,17.27,clear sky
257,Nemuro,JP,43.3236,145.575,30.69,90,100,8.5,overcast clouds
258,Morondava,MG,-20.2833,44.2833,76.15,83,99,4.76,overcast clouds
259,Vardo,NO,70.3705,31.1107,12.18,73,6,21.85,clear sky
260,Liverpool,GB,53.4106,-2.9779,39.15,94,100,12.66,overcast clouds
261,Iskitim,RU,54.6366,83.3045,33.84,98,100,15.08,snow
262,Bayanday,RU,53.0661,105.5139,-0.42,88,25,4.61,scattered clouds
263,Escuinapa,MX,22.85,-105.8,81.95,47,5,9.51,clear sky
264,Kolvereid,NO,64.8655,11.6047,27.63,86,89,7.11,light snow
265,Salta,AR,-24.7859,-65.4117,88.39,44,20,11.5,few clouds
266,Khrebtovaya,RU,56.7032,104.2494,5.2,92,93,5.01,overcast clouds
267,San Pedro,PH,14.35,121.0167,73.35,85,20,1.14,few clouds
268,Katol,IN,21.2667,78.5833,73.45,24,0,7.34,clear sky
269,Alofi,NU,-19.0595,-169.9187,75.09,100,100,1.14,heavy intensity rain
270,Marica,BR,-22.9194,-42.8186,78.71,90,100,3.71,light rain
271,Teya,RU,60.3778,92.6267,27.32,83,100,6.96,overcast clouds
272,Ahipara,NZ,-35.1667,173.1667,68.61,61,75,5.48,broken clouds
273,Kysyl-Syr,RU,63.8986,122.7617,-25.96,100,100,1.57,overcast clouds
274,Torbay,CA,47.6666,-52.7314,35.28,96,100,24.16,heavy snow
275,Constitucion,CL,-35.3333,-72.4167,62.35,82,14,3.71,few clouds
276,High Level,CA,58.5169,-117.136,6.91,72,100,12.66,light snow
277,Bacolod,PH,10.6667,122.95,73.99,84,15,9.31,few clouds
278,Pundaguitan,PH,6.3711,126.1689,79.56,78,70,5.17,broken clouds
279,Cabo San Lucas,MX,22.8909,-109.9124,92.61,28,0,11.5,clear sky
280,Namibe,AO,-15.1961,12.1522,71.89,85,95,1.83,overcast clouds
281,Jijiga,ET,9.35,42.8,69.42,56,95,7.09,overcast clouds
282,Lang Son,VN,21.8333,106.7333,68.68,84,100,2.51,overcast clouds
283,Pskov,RU,57.8136,28.3496,26.51,86,75,13.42,broken clouds
284,Singaparna,ID,-7.3515,108.111,69.73,97,79,0.81,broken clouds
285,Haines Junction,CA,60.7522,-137.5108,21.15,38,47,2.3,snow
286,Bystryy Istok,RU,52.371,84.3873,37.63,90,100,12.46,moderate rain
287,Maragheh,IR,37.3917,46.2398,39.47,65,0,4.61,clear sky
288,Kieta,PG,-6.2167,155.6333,82.45,71,62,2.35,broken clouds
289,Kautokeino,NO,69.0125,23.0412,-7.2,90,9,3.78,clear sky
290,Abnub,EG,27.2696,31.1511,66.42,26,0,6.11,clear sky
291,Non Sang,TH,16.8687,102.5664,75.09,55,81,4.23,broken clouds
292,Juneau,US,58.3019,-134.4197,26.6,100,20,24.16,few clouds
293,Quatre Cocos,MU,-20.2078,57.7625,77.11,83,89,14.97,light rain
294,Niamey,NE,13.5137,2.1098,97.09,9,95,6.91,overcast clouds
295,Mendoza,AR,-32.8908,-68.8272,90.93,40,40,9.22,scattered clouds
296,Porto Novo,BJ,6.4965,2.6036,82.22,78,70,7.02,broken clouds
297,Dinguiraye,GN,11.3,-10.7167,83.68,12,28,4.14,scattered clouds
298,Port Hedland,AU,-20.3167,118.5667,82.45,89,0,9.22,clear sky
299,Ananas,HT,19.2466,-71.9557,78.03,52,94,9.84,overcast clouds
