City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
472,Cayenne,GF,80.64,scattered clouds,4.9333,-52.3333,Central Hôtel
477,Bandiagara,ML,87.8,broken clouds,14.3501,-3.6104,Hôtel Auberge Kansaye
479,Robore,BO,83.93,scattered clouds,-18.3333,-59.75,Lajas
481,Maua,BR,72.36,light rain,-23.6678,-46.4614,Go Inn Santo André
483,Ghanzi,BW,75.58,clear sky,-21.5667,21.7833,Ghanzi farmhouse
490,Ponta Pora,BR,73.31,thunderstorm,-22.5361,-55.7256,Pousada do Bosque
491,Voh,NC,80.44,clear sky,-20.9667,164.7,Le Vook
492,Tafo,GH,76.46,moderate rain,6.7345,-1.6127,Tullux Hotel
494,Ecoporanga,BR,73.87,scattered clouds,-18.3733,-40.8306,Hotel Palmeiras
496,Ballina,AU,74.79,overcast clouds,-28.8667,153.5667,Ballina Beach Resort
498,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Hotel Hero
501,Inhambane,MZ,76.33,scattered clouds,-23.865,35.3833,Hotel de Inhambane
505,Karratha,AU,84.47,light rain,-20.7377,116.8463,Karratha International Hotel
506,Rocha,UY,75.58,overcast clouds,-34.4833,-54.3333,Hotel Municipal
514,Sulphur Springs,US,77.92,scattered clouds,33.1385,-95.6011,Oaks
517,Feni,BD,70.66,scattered clouds,23.0186,91.41,হোটেল নাইট গেস্ট
523,Dabola,GN,85.23,broken clouds,10.75,-11.1167,"Hotel Tinkisso, rooms from 200k"
524,Basco,PH,72.32,few clouds,20.4487,121.9702,Tawsen Hotel
527,Bago,MM,78.42,overcast clouds,17.3367,96.4797,Emperor Hotel
529,Luanda,AO,78.67,overcast clouds,-8.8368,13.2343,Hotel Forum
537,Makakilo City,US,80.35,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
546,Shreveport,US,77.0,few clouds,32.5251,-93.7502,Sam's Town Hotel and Casino Shreveport
548,Mayumba,GA,76.01,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
555,Richards Bay,ZA,76.33,light rain,-28.783,32.0377,Protea Hotel
556,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Tara-Mé
561,Port Blair,IN,78.22,broken clouds,11.6667,92.75,Andaman Ocean Breeze
565,Kupang,ID,77.58,scattered clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
567,Praia,CV,79.34,clear sky,14.9215,-23.5087,Casa Sodadi
